424 [3] / Zeitpunkt in s	424 [3] / Winkelbeschleunigung Z, MCS in rad/s²	
0.0	0.0	
0.005035257801639547	0.0	
0.01003525780163954	0.0	
0.01503525780163951	0.0	
0.02003525780163948	0.0	
0.02503525780163945	0.0	
0.03003525780163942	0.0	
0.03503525780163952	0.0	
0.04003525780163966	0.0	
0.045035257801639805	0.0	
0.05003525780163995	0.0	
0.05503525780164009	0.0	
0.060035257801640235	0.0	
0.06503525780164038	0.0	
0.07003525780164052	0.0	
0.07503525780164066	0.0	
0.08003525780164081	0.0	
0.08503525780164095	0.0	
0.0900352578016411	0.0	
0.09503525780164124	0.0	
0.10003525780164138	0.0	
0.105002792168977	-0.071621662782299	
0.11000279216897714	-0.07162110996331235	
0.11500279216897728	-0.07162018644669164	
0.12000279216897743	-0.07161888812768569	
0.12500279216897756	-0.07161720926130011	
0.130002792168977	-0.0716151424623822	
0.13500279216897645	-0.07161267870573178	
0.1400027921689759	-0.07160980732623833	
0.14500279216897535	-0.07160651601904627	
0.1500027921689748	-0.07160279083974982	
0.15500279216897425	-0.07159861620461887	
0.1600027921689737	-0.07159397489085798	
0.16500279216897315	-0.07158884803690094	
0.1700027921689726	-0.07158321514274295	
0.17500279216897205	-0.07157705407031319	
0.1800027921689715	-0.07157034104389093	
0.18500279216897095	-0.07156305065056773	
0.1900027921689704	-0.07155515584075978	
0.19500279216896985	-0.07154662792877334	
0.2000027921689693	-0.07153743659342729	
0.20497032653630431	5.1822751819955676E-5	
0.20997032653630376	5.199974663428739E-5	
0.2149703265363032	5.217673542446262E-5	
0.21997032653630266	5.2353718170009246E-5	
0.2249703265363021	5.2530694850455555E-5	
0.22997032653630156	5.2707665445330514E-5	
0.234970326536301	5.288462993416451E-5	
0.23997032653630046	5.3061588296488915E-5	
0.2449703265362999	5.3238540511835926E-5	
0.24997032653629936	5.341548655973886E-5	
0.2549703265362988	5.359242641973258E-5	
0.25997032653629826	5.3769360071351946E-5	
0.2649703265362977	5.394628749413292E-5	
0.26997032653629716	5.4123208667612544E-5	
0.2749703265362966	5.43001235713292E-5	
0.27997032653629605	5.4477032184822014E-5	
0.2849703265362955	5.465393448763132E-5	
0.28997032653629495	5.4830830459298844E-5	
0.2949703265362944	5.5007720079366045E-5	
0.29997032653629385	5.518460332737618E-5	
0.3049703265362933	5.536148018287335E-5	
0.30997032653629275	5.5538350625402873E-5	
0.3149703265362922	5.571521463451089E-5	
0.31997032653629165	5.589207218974532E-5	
0.3249703265362911	5.606892327065412E-5	
0.32997032653629055	5.624576785678636E-5	
0.33497032653629	5.642260592769235E-5	
0.33997032653628945	5.659943746292331E-5	
0.3449703265362889	5.6776262442031804E-5	
0.34997032653628835	5.695308084457164E-5	
0.3549703265362878	5.712989265009743E-5	
0.35997032653628724	5.730669783816413E-5	
0.3649703265362867	5.748349638832841E-5	
0.36997032653628614	5.766028828014776E-5	
0.3749703265362856	5.783707349318102E-5	
0.37997032653628504	5.8013852006988095E-5	
0.3849703265362845	5.819062380113022E-5	
0.38997032653628394	5.836738885516865E-5	
0.3949703265362834	5.854414714866625E-5	
0.39997032653628284	5.872089866118714E-5	
0.4049703265362823	5.889764337229633E-5	
0.40997032653628174	5.907438126156023E-5	
0.4149703265362812	5.92511123085466E-5	
0.41997032653628064	5.942783649282311E-5	
0.4249703265362801	5.9604553793959096E-5	
0.42997032653627953	5.978126419152502E-5	
0.434970326536279	5.995796766509261E-5	
0.43997032653627843	6.0134664194234704E-5	
0.4449703265362779	6.0311353758525687E-5	
0.44997032653627733	6.0488036337539586E-5	
0.4549703265362768	6.066471191085263E-5	
0.45997032653627623	6.0841380458041776E-5	
0.4649703265362757	6.10180419586852E-5	
0.46997032653627513	6.119469639236307E-5	
0.4749703265362746	6.137134373865559E-5	
0.47997032653627403	6.154798397714386E-5	
0.4849703265362735	6.172461708741061E-5	
0.4899703265362729	6.190124304903981E-5	
0.4949703265362724	6.207786184161643E-5	
0.4999703265362718	6.225447344472744E-5	
