424_3D [13] / Zeitpunkt in s	424_3D [13] / Winkelgeschwindigkeit X, MCS in rad/s	424_3D [13] / Zeitpunkt in s	424_3D [13] / Winkelgeschwindigkeit Y, MCS in rad/s	424_3D [13] / Zeitpunkt in s	424_3D [13] / Winkelgeschwindigkeit Z, MCS in rad/s	
0.0	0.0	0.0	0.0	0.0	0.0	
0.005035257801639547	0.0	0.005035257801639547	0.0	0.005035257801639547	0.0	
0.01003525780163954	0.0	0.01003525780163954	0.0	0.01003525780163954	0.0	
0.01503525780163951	0.0	0.01503525780163951	0.0	0.01503525780163951	0.0	
0.02003525780163948	0.0	0.02003525780163948	0.0	0.02003525780163948	0.0	
0.02503525780163945	0.0	0.02503525780163945	0.0	0.02503525780163945	0.0	
0.03003525780163942	0.0	0.03003525780163942	0.0	0.03003525780163942	0.0	
0.03503525780163952	0.0	0.03503525780163952	0.0	0.03503525780163952	0.0	
0.04003525780163966	0.0	0.04003525780163966	0.0	0.04003525780163966	0.0	
0.045035257801639805	0.0	0.045035257801639805	0.0	0.045035257801639805	0.0	
0.05003525780163995	0.0	0.05003525780163995	0.0	0.05003525780163995	0.0	
0.05503525780164009	0.0	0.05503525780164009	0.0	0.05503525780164009	0.0	
0.060035257801640235	0.0	0.060035257801640235	0.0	0.060035257801640235	0.0	
0.06503525780164038	0.0	0.06503525780164038	0.0	0.06503525780164038	0.0	
0.07003525780164052	0.0	0.07003525780164052	0.0	0.07003525780164052	0.0	
0.07503525780164066	0.0	0.07503525780164066	0.0	0.07503525780164066	0.0	
0.08003525780164081	0.0	0.08003525780164081	0.0	0.08003525780164081	0.0	
0.08503525780164095	0.0	0.08503525780164095	0.0	0.08503525780164095	0.0	
0.0900352578016411	0.0	0.0900352578016411	0.0	0.0900352578016411	0.0	
0.09503525780164124	0.0	0.09503525780164124	0.0	0.09503525780164124	0.0	
0.10003525780164138	0.0	0.10003525780164138	0.0	0.10003525780164138	0.0	
0.10499824671443155	1.5327523073301504E-5	0.10499824671443155	-0.019857841279178477	0.10499824671443155	-0.0018189165207470196	
0.10999824671443169	3.0801698567833515E-5	0.10999824671443169	-0.039405888962925496	0.10999824671443169	-0.0036094247351139827	
0.11499824671443183	4.703933325006962E-5	0.11499824671443183	-0.058953936625863	0.11499824671443183	-0.005399869156499942	
0.11999824671443197	6.441912516988958E-5	0.11999824671443197	-0.07850198422334446	0.11999824671443197	-0.00719021785902061	
0.12499824671443212	8.331973578328356E-5	0.12499824671443212	-0.098050031669799	0.12499824671443212	-0.008980438582743383	
0.12999824671443158	1.0411977751780452E-4	0.12999824671443158	-0.11759807882516947	0.12999824671443158	-0.010770498622948963	
0.13499824671443103	1.2719780108148187E-4	0.13499824671443103	-0.13714612548135668	0.13499824671443103	-0.01256036471941538	
0.13999824671443048	1.5293228245134873E-4	0.13999824671443048	-0.15669417134867167	0.13999824671443048	-0.014350002945730623	
0.14499824671442993	1.817016094777566E-4	0.14499824671442993	-0.17624221604229942	0.14499824671442993	-0.016139378598639068	
0.14999824671442938	2.1388406804068408E-4	0.14999824671442938	-0.19579025906877268	0.14999824671442938	-0.017928456087429056	
0.15499824671442883	2.498578276942735E-4	0.15499824671442883	-0.21533829981246122	0.15499824671442883	-0.019717198823367484	
0.15999824671442828	2.900009267358734E-4	0.15999824671442828	-0.23488633752207647	0.15999824671442828	-0.02150556910918826	
0.16499824671442773	3.3469125663590613E-4	0.16499824671442773	-0.25443437129719515	0.16499824671442773	-0.023293528028642357	
0.16999824671442718	3.8430654576493265E-4	0.16999824671442718	-0.27398240007480257	0.16999824671442718	-0.02508103533611693	
0.17499824671442663	4.392243423543445E-4	0.17499824671442663	-0.29353042261585904	0.17499824671442663	-0.026868049346330553	
0.17999824671442607	4.998219966271761E-4	0.17999824671442607	-0.3130784374918948	0.17999824671442607	-0.02865452682411451	
0.18499824671442552	5.664766420355975E-4	0.18499824671442552	-0.3326264430716306	0.18499824671442552	-0.03044042287428799	
0.18999824671442497	6.395651755417562E-4	0.18999824671442497	-0.35217443750763133	0.18999824671442497	-0.032225690831637635	
0.19499824671442442	7.194642368786603E-4	0.19499824671442442	-0.3717224187229948	0.19499824671442442	-0.03401028215101048	
0.19999824671442387	8.065501867279844E-4	0.19999824671442387	-0.3912703843980806	0.19999824671442387	-0.0357941462975316	
0.20496123562721347	8.816950782706113E-4	0.20496123562721347	-0.3912067562471922	0.20496123562721347	-0.035781263811821284	
0.20996123562721292	9.574316056973236E-4	0.20996123562721292	-0.3912066454184628	0.20996123562721292	-0.03577403792080159	
0.21496123562721237	0.001033154235163163	0.21496123562721237	-0.39120652104905973	0.21496123562721237	-0.03576670121921189	
0.21996123562721182	0.0011088627535239149	0.21996123562721182	-0.3912063831462496	0.21996123562721182	-0.035759253728337756	
0.22496123562721126	0.001184556947679386	0.22496123562721126	-0.3912062317174385	0.22496123562721126	-0.0357516954697854	
0.2299612356272107	0.0012602366045741098	0.2299612356272107	-0.39120606677017367	0.2299612356272107	-0.03574402646548179	
0.23496123562721016	0.0013359015111980177	0.23496123562721016	-0.3912058883121423	0.23496123562721016	-0.03573624673767476	
0.2399612356272096	0.0014115514545871032	0.2399612356272096	-0.3912056963511711	0.2399612356272096	-0.03572835630893243	
0.24496123562720906	0.0014871862218241057	0.24496123562720906	-0.3912054908952272	0.24496123562720906	-0.03572035520214354	
0.2499612356272085	0.0015628056000391902	0.2499612356272085	-0.39120527195241717	0.2499612356272085	-0.03571224344051751	
