424_3D [13] / Zeitpunkt in s	424_3D [13] / Winkelbeschleunigung X, MCS in rad/s²	424_3D [13] / Zeitpunkt in s	424_3D [13] / Winkelbeschleunigung Y, MCS in rad/s²	424_3D [13] / Zeitpunkt in s	424_3D [13] / Winkelbeschleunigung Z, MCS in rad/s²	
0.0	0.0	0.0	0.0	0.0	0.0	
0.005035257801639547	0.0	0.005035257801639547	0.0	0.005035257801639547	0.0	
0.01003525780163954	0.0	0.01003525780163954	0.0	0.01003525780163954	0.0	
0.01503525780163951	0.0	0.01503525780163951	0.0	0.01503525780163951	0.0	
0.02003525780163948	0.0	0.02003525780163948	0.0	0.02003525780163948	0.0	
0.02503525780163945	0.0	0.02503525780163945	0.0	0.02503525780163945	0.0	
0.03003525780163942	0.0	0.03003525780163942	0.0	0.03003525780163942	0.0	
0.03503525780163952	0.0	0.03503525780163952	0.0	0.03503525780163952	0.0	
0.04003525780163966	0.0	0.04003525780163966	0.0	0.04003525780163966	0.0	
0.045035257801639805	0.0	0.045035257801639805	0.0	0.045035257801639805	0.0	
0.05003525780163995	0.0	0.05003525780163995	0.0	0.05003525780163995	0.0	
0.05503525780164009	0.0	0.05503525780164009	0.0	0.05503525780164009	0.0	
0.060035257801640235	0.0	0.060035257801640235	0.0	0.060035257801640235	0.0	
0.06503525780164038	0.0	0.06503525780164038	0.0	0.06503525780164038	0.0	
0.07003525780164052	0.0	0.07003525780164052	0.0	0.07003525780164052	0.0	
0.07503525780164066	0.0	0.07503525780164066	0.0	0.07503525780164066	0.0	
0.08003525780164081	0.0	0.08003525780164081	0.0	0.08003525780164081	0.0	
0.08503525780164095	0.0	0.08503525780164095	0.0	0.08503525780164095	0.0	
0.0900352578016411	0.0	0.0900352578016411	0.0	0.0900352578016411	0.0	
0.09503525780164124	0.0	0.09503525780164124	0.0	0.09503525780164124	0.0	
0.10003525780164138	0.0	0.10003525780164138	0.0	0.10003525780164138	0.0	
0.10499824671443155	0.0030422132538785985	0.10499824671443155	-3.9096095373666806	0.10499824671443155	-0.35810603311084466	
0.10999824671443169	0.0031555185660633433	0.10999824671443169	-3.9096095356832703	0.10999824671443169	-0.3580965771375569	
0.11499824671443183	0.003344566425794296	0.11499824671443183	-3.909609528367465	0.11499824671443183	-0.35808076289755003	
0.11999824671443197	0.0036093507927786005	0.11999824671443197	-3.9096095086452505	0.11999824671443197	-0.3580585350992159	
0.12499824671443212	0.003949863161978497	0.12499824671443212	-3.9096094670296093	0.12499824671443212	-0.3580298163013556	
0.12999824671443158	0.0043660925189450365	0.12999824671443158	-3.9096093913216676	0.12999824671443158	-0.3579945069170646	
0.13499824671443103	0.0048580252823802	0.13499824671443103	-3.909609266612175	0.13499824671443103	-0.3579524852187751	
0.13999824671443048	0.005425645233931575	0.13999824671443048	-3.9096090752833086	0.13999824671443048	-0.35790360734448756	
0.14499824671442993	0.006068933435224612	0.14499824671442993	-3.909608797010896	0.14499824671442993	-0.35784770730523824	
0.14999824671442938	0.006787868132138634	0.14999824671442938	-3.90960840876699	0.14999824671442938	-0.35778459699384757	
0.15499824671442883	0.007582424646333792	0.15499824671442883	-3.9096078848228593	0.15499824671442883	-0.3577140661950101	
0.15999824671442828	0.008452575254037203	0.15999824671442828	-3.909607196752435	0.15999824671442828	-0.35763588259678925	
0.16499824671442773	0.009398289052097988	0.16499824671442773	-3.909606313436171	0.16499824671442773	-0.3575497918035883	
0.16999824671442718	0.01041953181132194	0.16999824671442718	-3.909605201065447	0.16999824671442718	-0.35745551735068154	
0.17499824671442663	0.011516265817097818	0.17499824671442663	-3.9096038231474535	0.17499824671442663	-0.35735276072038835	
0.17999824671442607	0.01268844969732929	0.17999824671442607	-3.9096021405106414	0.17999824671442607	-0.35724120135998794	
0.18499824671442552	0.013936038237687317	0.18499824671442552	-3.9096001113107905	0.18499824671442552	-0.35712049670148	
0.18999824671442497	0.015258982184200192	0.18999824671442497	-3.9095976910376824	0.18999824671442497	-0.3569902821832953	
0.19499824671442442	0.016657228033199422	0.19499824671442442	-3.909594832522457	0.19499824671442442	-0.356850171274081	
0.19999824671442387	0.018130717808642394	0.19999824671442387	-3.9095914859457226	0.19999824671442387	-0.3566997554986812	
0.20496123562721347	0.015148735800219295	0.20496123562721347	2.0757009458132165E-5	0.20496123562721347	0.0014336524168811764	
0.20996123562721292	0.015145978378121363	0.20996123562721292	2.3465889967902392E-5	0.20996123562721292	0.0014558167218684352	
0.21496123562721237	0.015143178322646986	0.21496123562721237	2.6173331803568E-5	0.21496123562721237	0.001477976803134837	
0.21996123562721182	0.015140335642533396	0.21996123562721182	2.887930689237975E-5	0.21996123562721182	0.0015001325965066478	
0.22496123562721126	0.015137450346653307	0.22496123562721126	3.1583787181671015E-5	0.22496123562721126	0.0015222840378271547	
0.2299612356272107	0.015134522444014892	0.2299612356272107	3.42867446391738E-5	0.2299612356272107	0.001544431062956917	
0.23496123562721016	0.015131551943761857	0.23496123562721016	3.69881512533335E-5	0.23496123562721016	0.0015665736077740292	
0.2399612356272096	0.015128538855173105	0.2399612356272096	3.968797903362268E-5	0.2399612356272096	0.0015887116081743488	
0.24496123562720906	0.015125483187662972	0.24496123562720906	4.238620001085569E-5	0.24496123562720906	0.0016108450000717706	
0.2499612356272085	0.015122384950781106	0.2499612356272085	4.508278623750295E-5	0.2499612356272085	0.0016329737193984597	
0.25496123562720796	0.01511924415421215	0.25496123562720796	4.7777709788004407E-5	0.25496123562720796	0.0016550977021051207	
