x;y;u;v;column;row
0.0000;0.0000;0.0000;0.0000;0;0
0.0345;0.0000;0.0310;0.0000;1;0
0.0690;0.0000;0.0626;-0.0000;2;0
0.1034;0.0000;0.0949;-0.0000;3;0
0.1379;0.0000;0.1278;-0.0000;4;0
0.1724;0.0000;0.1614;-0.0000;5;0
0.2069;0.0000;0.1954;-0.0000;6;0
0.2414;0.0000;0.2300;-0.0000;7;0
0.2759;0.0000;0.2650;-0.0000;8;0
0.3103;0.0000;0.3005;-0.0000;9;0
0.3448;0.0000;0.3363;0.0000;10;0
0.3793;0.0000;0.3723;0.0000;11;0
0.4138;0.0000;0.4086;0.0000;12;0
0.4483;0.0000;0.4451;0.0000;13;0
0.4828;0.0000;0.4817;0.0000;14;0
0.5172;0.0000;0.5183;0.0000;15;0
0.5517;0.0000;0.5549;0.0000;16;0
0.5862;0.0000;0.5914;0.0000;17;0
0.6207;0.0000;0.6277;0.0000;18;0
0.6552;0.0000;0.6637;0.0000;19;0
0.6897;0.0000;0.6995;-0.0000;20;0
0.7241;0.0000;0.7350;-0.0000;21;0
0.7586;0.0000;0.7700;-0.0000;22;0
0.7931;0.0000;0.8046;-0.0000;23;0
0.8276;0.0000;0.8386;-0.0000;24;0
0.8621;0.0000;0.8722;-0.0000;25;0
0.8966;0.0000;0.9051;-0.0000;26;0
0.9310;0.0000;0.9374;-0.0000;27;0
0.9655;0.0000;0.9690;0.0000;28;0
1.0000;0.0000;1.0000;0.0000;29;0
0.0000;0.0526;0.0000;0.0529;0;1
0.0345;0.0526;0.0310;0.0538;1;1
0.0690;0.0526;0.0626;0.0546;2;1
0.1034;0.0526;0.0949;0.0554;3;1
0.1379;0.0526;0.1278;0.0561;4;1
0.1724;0.0526;0.1614;0.0568;5;1
0.2069;0.0526;0.1954;0.0575;6;1
0.2414;0.0526;0.2300;0.0581;7;1
0.2759;0.0526;0.2650;0.0586;8;1
0.3103;0.0526;0.3005;0.0591;9;1
0.3448;0.0526;0.3363;0.0595;10;1
0.3793;0.0526;0.3723;0.0598;11;1
0.4138;0.0526;0.4086;0.0601;12;1
0.4483;0.0526;0.4451;0.0602;13;1
0.4828;0.0526;0.4817;0.0603;14;1
0.5172;0.0526;0.5183;0.0603;15;1
0.5517;0.0526;0.5549;0.0602;16;1
0.5862;0.0526;0.5914;0.0601;17;1
0.6207;0.0526;0.6277;0.0598;18;1
0.6552;0.0526;0.6637;0.0595;19;1
0.6897;0.0526;0.6995;0.0591;20;1
0.7241;0.0526;0.7350;0.0586;21;1
0.7586;0.0526;0.7700;0.0581;22;1
0.7931;0.0526;0.8046;0.0575;23;1
0.8276;0.0526;0.8386;0.0568;24;1
0.8621;0.0526;0.8722;0.0561;25;1
0.8966;0.0526;0.9051;0.0554;26;1
0.9310;0.0526;0.9374;0.0546;27;1
0.9655;0.0526;0.9690;0.0538;28;1
1.0000;0.0526;1.0000;0.0529;29;1
0.0000;0.1053;0.0000;0.1058;0;2
0.0345;0.1053;0.0310;0.1075;1;2
0.0690;0.1053;0.0626;0.1092;2;2
0.1034;0.1053;0.0949;0.1108;3;2
0.1379;0.1053;0.1278;0.1123;4;2
0.1724;0.1053;0.1614;0.1137;5;2
0.2069;0.1053;0.1954;0.1150;6;2
0.2414;0.1053;0.2300;0.1162;7;2
0.2759;0.1053;0.2650;0.1173;8;2
0.3103;0.1053;0.3005;0.1182;9;2
0.3448;0.1053;0.3363;0.1190;10;2
0.3793;0.1053;0.3723;0.1196;11;2
0.4138;0.1053;0.4086;0.1201;12;2
0.4483;0.1053;0.4451;0.1204;13;2
0.4828;0.1053;0.4817;0.1206;14;2
0.5172;0.1053;0.5183;0.1206;15;2
0.5517;0.1053;0.5549;0.1204;16;2
0.5862;0.1053;0.5914;0.1201;17;2
0.6207;0.1053;0.6277;0.1196;18;2
0.6552;0.1053;0.6637;0.1190;19;2
0.6897;0.1053;0.6995;0.1182;20;2
0.7241;0.1053;0.7350;0.1173;21;2
0.7586;0.1053;0.7700;0.1162;22;2
0.7931;0.1053;0.8046;0.1150;23;2
0.8276;0.1053;0.8386;0.1137;24;2
0.8621;0.1053;0.8722;0.1123;25;2
