x;y;u;v;column;row
0.0000;0.0000;0.0000;-0.0000;0;0
0.0345;0.0000;0.0319;0.0000;1;0
0.0690;0.0000;0.0645;0.0000;2;0
0.1034;0.0000;0.0977;0.0000;3;0
0.1379;0.0000;0.1316;0.0000;4;0
0.1724;0.0000;0.1661;0.0000;5;0
0.2069;0.0000;0.2011;-0.0000;6;0
0.2414;0.0000;0.2367;-0.0000;7;0
0.2759;0.0000;0.2727;-0.0000;8;0
0.3103;0.0000;0.3092;-0.0000;9;0
0.3448;0.0000;0.3460;-0.0000;10;0
0.3793;0.0000;0.3832;-0.0000;11;0
0.4138;0.0000;0.4205;-0.0000;12;0
0.4483;0.0000;0.4581;-0.0000;13;0
0.4828;0.0000;0.4957;0.0000;14;0
0.5172;0.0000;0.5334;0.0000;15;0
0.5517;0.0000;0.5710;0.0000;16;0
0.5862;0.0000;0.6086;0.0000;17;0
0.6207;0.0000;0.6459;0.0000;18;0
0.6552;0.0000;0.6831;0.0000;19;0
0.6897;0.0000;0.7199;0.0000;20;0
0.7241;0.0000;0.7564;0.0000;21;0
0.7586;0.0000;0.7924;-0.0000;22;0
0.7931;0.0000;0.8280;-0.0000;23;0
0.8276;0.0000;0.8630;-0.0000;24;0
0.8621;0.0000;0.8975;-0.0000;25;0
0.8966;0.0000;0.9314;-0.0000;26;0
0.9310;0.0000;0.9646;0.0000;27;0
0.9655;0.0000;0.9972;0.0000;28;0
1.0000;0.0000;1.0291;0.0001;29;0
0.0000;0.0526;0.0000;0.0529;0;1
0.0345;0.0526;0.0319;0.0538;1;1
0.0690;0.0526;0.0645;0.0546;2;1
0.1034;0.0526;0.0977;0.0554;3;1
0.1379;0.0526;0.1316;0.0562;4;1
0.1724;0.0526;0.1661;0.0569;5;1
0.2069;0.0526;0.2011;0.0575;6;1
0.2414;0.0526;0.2367;0.0581;7;1
0.2759;0.0526;0.2727;0.0586;8;1
0.3103;0.0526;0.3092;0.0591;9;1
0.3448;0.0526;0.3460;0.0595;10;1
0.3793;0.0526;0.3832;0.0598;11;1
0.4138;0.0526;0.4205;0.0600;12;1
0.4483;0.0526;0.4581;0.0602;13;1
0.4828;0.0526;0.4957;0.0603;14;1
