424 [3] / Zeitpunkt in s	424 [3] / Winkelbeschleunigung X, MCS in rad/s²	
0.0	0.0	
0.005035257801639547	0.0	
0.01003525780163954	0.0	
0.01503525780163951	0.0	
0.02003525780163948	0.0	
0.02503525780163945	0.0	
0.03003525780163942	0.0	
0.03503525780163952	0.0	
0.04003525780163966	0.0	
0.045035257801639805	0.0	
0.05003525780163995	0.0	
0.05503525780164009	0.0	
0.060035257801640235	0.0	
0.06503525780164038	0.0	
0.07003525780164052	0.0	
0.07503525780164066	0.0	
0.08003525780164081	0.0	
0.08503525780164095	0.0	
0.0900352578016411	0.0	
0.09503525780164124	0.0	
0.10003525780164138	0.0	
0.105002792168977	-5.986485852031853E-4	
0.11000279216897714	-5.918205346198341E-4	
0.11500279216897728	-5.804476696734213E-4	
0.12000279216897743	-5.645299226287337E-4	
0.12500279216897756	-5.440671989859814E-4	
0.130002792168977	-5.190593777841126E-4	
0.13500279216897645	-4.895063119907357E-4	
0.1400027921689759	-4.5540782897866383E-4	
0.14500279216897535	-4.167637310890849E-4	
0.1500027921689748	-3.7357379628136586E-4	
0.15500279216897425	-3.258377788695105E-4	
0.1600027921689737	-2.735554103452751E-4	
0.16500279216897315	-2.1672640028795983E-4	
0.1700027921689726	-1.5535043736089225E-4	
0.17500279216897205	-8.942719039461439E-5	
0.1800027921689715	-1.8956309556797387E-5	
0.18500279216897095	5.606257239110987E-5	
0.1900027921689704	1.3562983875046265E-4	
0.19500279216896985	2.197458874552327E-4	
0.2000027921689693	3.0841112955501545E-4	
0.20497032653630431	6.057352171709615E-4	
0.20997032653630376	6.057536577313765E-4	
0.2149703265363032	6.057720302049745E-4	
0.21997032653630266	6.057903345894792E-4	
0.2249703265363021	6.058085708826204E-4	
0.22997032653630156	6.058267390821358E-4	
0.234970326536301	6.058448391857736E-4	
0.23997032653630046	6.058628711912896E-4	
0.2449703265362999	6.058808350964481E-4	
0.24997032653629936	6.058987308990177E-4	
0.2549703265362988	6.05916558596783E-4	
0.25997032653629826	6.05934318187536E-4	
0.2649703265362977	6.059520096690757E-4	
0.26997032653629716	6.059696330392095E-4	
0.2749703265362966	6.059871882957554E-4	
0.27997032653629605	6.060046754365369E-4	
0.2849703265362955	6.060220944593887E-4	
0.28997032653629495	6.06039445362149E-4	
0.2949703265362944	6.060567281426706E-4	
0.29997032653629385	6.060739427988155E-4	
0.3049703265362933	6.060910893284518E-4	
0.30997032653629275	6.061081677294567E-4	
0.3149703265362922	6.061251779997165E-4	
0.31997032653629165	6.061421201371255E-4	
0.3249703265362911	6.061589941395863E-4	
0.32997032653629055	6.061758000050109E-4	
0.33497032653629	6.061925377313142E-4	
0.33997032653628945	6.062092073164309E-4	
0.3449703265362889	6.062258087582988E-4	
0.34997032653628835	6.062423420548645E-4	
0.3549703265362878	6.062588072040838E-4	
0.35997032653628724	6.062752042039192E-4	
0.3649703265362867	6.062915330523445E-4	
0.36997032653628614	6.063077937473397E-4	
0.3749703265362856	6.063239862868956E-4	
0.37997032653628504	6.063401106690046E-4	
0.3849703265362845	6.063561668916797E-4	
0.38997032653628394	6.063721549529363E-4	
0.3949703265362834	6.063880748507998E-4	
0.39997032653628284	6.064039265833021E-4	
0.4049703265362823	6.064197101484873E-4	
0.40997032653628174	6.064354255444044E-4	
0.4149703265362812	6.064510727691126E-4	
0.41997032653628064	6.064666518206806E-4	
0.4249703265362801	6.064821626971817E-4	
0.42997032653627953	6.064976053967013E-4	
0.434970326536279	6.065129799173365E-4	
0.43997032653627843	6.065282862571898E-4	
0.4449703265362779	6.065435244143721E-4	
0.44997032653627733	6.065586943870048E-4	
0.4549703265362768	6.065737961732148E-4	
0.45997032653627623	6.06588829771141E-4	
0.4649703265362757	6.066037951789288E-4	
0.46997032653627513	6.066186923947329E-4	
0.4749703265362746	6.06633521416715E-4	
0.47997032653627403	6.066482822430449E-4	
0.4849703265362735	6.06662974871908E-4	
0.4899703265362729	6.066775993014935E-4	
0.4949703265362724	6.066921555299995E-4	
0.4999703265362718	6.067066435556331E-4	
