424 [3] / Zeitpunkt in s	424 [3] / Winkelbeschleunigung Y, MCS in rad/s²	
0.0	0.0	
0.005035257801639547	0.0	
0.01003525780163954	0.0	
0.01503525780163951	0.0	
0.02003525780163948	0.0	
0.02503525780163945	0.0	
0.03003525780163942	0.0	
0.03503525780163952	0.0	
0.04003525780163966	0.0	
0.045035257801639805	0.0	
0.05003525780163995	0.0	
0.05503525780164009	0.0	
0.060035257801640235	0.0	
0.06503525780164038	0.0	
0.07003525780164052	0.0	
0.07503525780164066	0.0	
0.08003525780164081	0.0	
0.08503525780164095	0.0	
0.0900352578016411	0.0	
0.09503525780164124	0.0	
0.10003525780164138	0.0	
0.105002792168977	-0.7819219217135551	
0.11000279216897714	-0.781921919512825	
0.11500279216897728	-0.7819219142921858	
0.12000279216897743	-0.7819219037217859	
0.12500279216897756	-0.7819218845407294	
0.130002792168977	-0.7819218525570776	
0.13500279216897645	-0.7819218026478566	
0.1400027921689759	-0.781921728759057	
0.14500279216897535	-0.7819216239056458	
0.1500027921689748	-0.7819214801715713	
0.15500279216897425	-0.7819212887097745	
0.1600027921689737	-0.7819210397422013	
0.16500279216897315	-0.7819207225598171	
0.1700027921689726	-0.7819203255226223	
0.17500279216897205	-0.7819198360596753	
0.1800027921689715	-0.781919240669115	
0.18500279216897095	-0.781918524918188	
0.1900027921689704	-0.7819176734432841	
0.19500279216896985	-0.781916669949969	
0.2000027921689693	-0.7819154972130298	
0.20497032653630431	1.6630531325505428E-7	
0.20997032653630376	1.8797915373948943E-7	
0.2149703265363032	2.0965101155503482E-7	
0.21997032653630266	2.3132087771941943E-7	
0.2249703265363021	2.5298874325149534E-7	
0.22997032653630156	2.746545991712399E-7	
0.234970326536301	2.9631843649976266E-7	
0.23997032653630046	3.179802462593069E-7	
0.2449703265362999	3.396400194732554E-7	
0.24997032653629936	3.6129774716613277E-7	
0.2549703265362988	3.829534203636129E-7	
0.25997032653629826	4.0460703009251775E-7	
0.2649703265362977	4.262585673808253E-7	
0.26997032653629716	4.479080232576714E-7	
0.2749703265362966	4.695553887533523E-7	
0.27997032653629605	4.912006548993384E-7	
0.2849703265362955	5.128438127282689E-7	
0.28997032653629495	5.344848532739565E-7	
0.2949703265362944	5.561237675713923E-7	
0.29997032653629385	5.777605466567516E-7	
0.3049703265362933	5.993951815673953E-7	
0.30997032653629275	6.21027663341877E-7	
0.3149703265362922	6.426579830199445E-7	
0.31997032653629165	6.642861316425469E-7	
0.3249703265362911	6.859121002518318E-7	
0.32997032653629055	7.075358798911585E-7	
0.33497032653629	7.291574616050948E-7	
0.33997032653628945	7.50776836439425E-7	
0.3449703265362889	7.723939954411514E-7	
0.34997032653628835	7.940089296585019E-7	
0.3549703265362878	8.156216301409309E-7	
0.35997032653628724	8.372320879391202E-7	
0.3649703265362867	8.588402941049932E-7	
0.36997032653628614	8.804462396917069E-7	
0.3749703265362856	9.020499157536647E-7	
0.37997032653628504	9.236513133465184E-7	
0.3849703265362845	9.452504235271674E-7	
0.38997032653628394	9.668472373537692E-7	
0.3949703265362834	9.884417458857407E-7	
0.39997032653628284	1.01003394018376E-6	
0.4049703265362823	1.0316238113097734E-6	
0.40997032653628174	1.0532113503270011E-6	
0.4149703265362812	1.0747965482999367E-6	
0.41997032653628064	1.096379396294351E-6	
0.4249703265362801	1.1179598853773026E-6	
0.42997032653627953	1.139538006617133E-6	
0.434970326536279	1.1611137510834774E-6	
0.43997032653627843	1.1826871098472685E-6	
0.4449703265362779	1.2042580739807362E-6	
0.44997032653627733	1.2258266345574125E-6	
0.4549703265362768	1.2473927826521387E-6	
0.45997032653627623	1.2689565093410669E-6	
0.4649703265362757	1.2905178057016625E-6	
0.46997032653627513	1.3120766628127164E-6	
0.4749703265362746	1.3336330717543462E-6	
0.47997032653627403	1.3551870236079803E-6	
0.4849703265362735	1.376738509456387E-6	
0.4899703265362729	1.3982875203836744E-6	
0.4949703265362724	1.4198340474752836E-6	
0.4999703265362718	1.441378081818004E-6	
