424 [3] / Zeitpunkt in s	424 [3] / Winkelbeschleunigung X, MCS in rad/s²	
0.0	0.0	
0.005035257801639547	0.0	
0.01003525780163954	0.0	
0.01503525780163951	0.0	
0.02003525780163948	0.0	
0.02503525780163945	0.0	
0.03003525780163942	0.0	
0.03503525780163952	0.0	
0.04003525780163966	0.0	
0.045035257801639805	0.0	
0.05003525780163995	0.0	
0.05503525780164009	0.0	
0.060035257801640235	0.0	
0.06503525780164038	0.0	
0.07003525780164052	0.0	
0.07503525780164066	0.0	
0.08003525780164081	0.0	
0.08503525780164095	0.0	
0.0900352578016411	0.0	
0.09503525780164124	0.0	
0.10003525780164138	0.0	
0.105002792168977	6.024529609174007E-4	
0.11000279216897714	6.070052068491391E-4	
0.11500279216897728	6.145873939902547E-4	
0.12000279216897743	6.251994529676113E-4	
0.12500279216897756	6.388412859892128E-4	
0.130002792168977	6.555127661485798E-4	
0.13500279216897645	6.752137365305401E-4	
0.1400027921689759	6.97944009118447E-4	
0.14500279216897535	7.237033635028518E-4	
0.1500027921689748	7.524915453916564E-4	
0.15500279216897425	7.843082649217832E-4	
0.1600027921689737	8.191531947723937E-4	
0.16500279216897315	8.57025968079712E-4	
0.1700027921689726	8.979261761534954E-4	
0.17500279216897205	9.418533659952144E-4	
0.1800027921689715	9.888070376180137E-4	
0.18500279216897095	0.0010387866411685196	
0.1900027921689704	0.0010917915738505894	
0.19500279216896985	0.0011478211766510888	
0.2000027921689693	0.001206874730867808	
0.20497032653630431	6.05363581873007E-4	
0.20997032653630376	6.053438027431666E-4	
0.2149703265363032	6.053239555772592E-4	
0.21997032653630266	6.053040403777542E-4	
0.2249703265363021	6.052840571471258E-4	
0.22997032653630156	6.052640058878548E-4	
0.234970326536301	6.052438866024334E-4	
0.23997032653630046	6.052236992933631E-4	
0.2449703265362999	6.052034439631527E-4	
0.24997032653629936	6.051831206143215E-4	
0.2549703265362988	6.051627292493997E-4	
0.25997032653629826	6.051422698709209E-4	
0.2649703265362977	6.051217424814264E-4	
0.26997032653629716	6.051011470834697E-4	
0.2749703265362966	6.050804836796126E-4	
0.27997032653629605	6.050597522724248E-4	
0.2849703265362955	6.050389528644858E-4	
0.28997032653629495	6.05018085458387E-4	
0.2949703265362944	6.04997150056719E-4	
0.29997032653629385	6.049761466620875E-4	
0.3049703265362933	6.049550752771045E-4	
0.30997032653629275	6.049339359043928E-4	
0.3149703265362922	6.049127285465825E-4	
0.31997032653629165	6.048914532063165E-4	
0.3249703265362911	6.048701098862415E-4	
0.32997032653629055	6.048486985890115E-4	
0.33497032653629	6.048272193172911E-4	
0.33997032653628945	6.048056720737541E-4	
0.3449703265362889	6.047840568610834E-4	
0.34997032653628835	6.047623736819725E-4	
0.3549703265362878	6.047406225391209E-4	
0.35997032653628724	6.047188034352345E-4	
0.3649703265362867	6.04696916373029E-4	
0.36997032653628614	6.046749613552309E-4	
0.3749703265362856	6.046529383845742E-4	
0.37997032653628504	6.046308474638024E-4	
0.3849703265362845	6.0460868859567E-4	
0.38997032653628394	6.045864617829327E-4	
0.3949703265362834	6.045641670283595E-4	
0.39997032653628284	6.045418043347279E-4	
0.4049703265362823	6.045193737048226E-4	
0.40997032653628174	6.044968751414399E-4	
0.4149703265362812	6.044743086473864E-4	
0.41997032653628064	6.044516742254696E-4	
0.4249703265362801	6.044289718785089E-4	
0.42997032653627953	6.044062016093341E-4	
0.434970326536279	6.043833634207823E-4	
0.43997032653627843	6.043604573157013E-4	
0.4449703265362779	6.043374832969487E-4	
0.44997032653627733	6.043144413673843E-4	
0.4549703265362768	6.04291331529879E-4	
0.45997032653627623	6.04268153787314E-4	
0.4649703265362757	6.042449081425788E-4	
0.46997032653627513	6.042215945985749E-4	
0.4749703265362746	6.041982131582076E-4	
0.47997032653627403	6.041747638243896E-4	
0.4849703265362735	6.041512466000447E-4	
0.4899703265362729	6.041276614881049E-4	
0.4949703265362724	6.04104008491512E-4	
0.4999703265362718	6.04080287613221E-4	
