TIME,SPEED
0.620,196.7092
0.622,196.6974
0.624,196.6857
0.626,196.6739
0.628,196.6622
0.630,196.6504
0.632,196.6386
0.634,196.6269
0.636,196.6151
0.638,196.6034
0.640,196.5916
0.642,196.5799
0.644,196.5681
0.646,196.5564
0.648,196.5446
0.650,196.5329
0.652,196.5211
0.654,196.5094
0.656,196.4976
0.658,196.4859
0.660,196.4742
0.662,196.4624
0.664,196.4507
0.666,196.4389
0.668,196.4272
0.670,196.4155
0.672,196.4037
0.674,196.3920
0.676,196.3802
0.678,196.3685
0.680,196.3568
0.682,196.3451
0.684,196.3333
0.686,196.3216
0.688,196.3099
0.690,196.2982
0.692,196.2864
0.694,196.2747
0.696,196.2630
0.698,196.2513
0.700,196.2396
0.702,196.2279
0.704,196.2162
0.706,196.2044
0.708,196.1927
0.710,196.1810
0.712,196.1693
0.714,196.1576
0.716,196.1459
0.718,196.1342
0.720,196.1225
0.722,196.1108
0.724,196.0991
0.726,196.0874
0.728,196.0757
0.730,196.0640
0.732,196.0523
0.734,196.0406
0.736,196.0289
0.738,196.0173
0.740,196.0056
0.742,195.9939
0.744,195.9822
0.746,195.9705
0.748,195.9588
0.750,195.9471
0.752,195.9354
0.754,195.9237
0.756,195.9120
0.758,195.9004
0.760,195.8887
0.762,195.8770
0.764,195.8653
0.766,195.8536
0.768,195.8420
0.770,195.8303
0.772,195.8186
0.774,195.8069
0.776,195.7953
0.778,195.7836
0.780,195.7719
0.782,195.7603
0.784,195.7486
0.786,195.7370
0.788,195.7253
0.790,195.7136
0.792,195.7020
0.794,195.6903
0.796,195.6786
0.798,195.6670
0.800,195.6553
0.802,195.6437
0.804,195.6320
0.806,195.6204
0.808,195.6087
0.810,195.5971
0.812,195.5854
0.814,195.5738
0.816,195.5621
0.818,195.5505
0.820,195.5389
0.822,195.5272
0.824,195.5156
0.826,195.5040
0.828,195.4923
0.830,195.4807
0.832,195.4690
0.834,195.4574
0.836,195.4458
0.838,195.4341
0.840,195.4225
0.842,195.4109
0.844,195.3993
0.846,195.3876
0.848,195.3760
0.850,195.3644
0.852,195.3527
0.854,195.3411
0.856,195.3295
0.858,195.3179
0.860,195.3063
0.862,195.2946
0.864,195.2830
0.866,195.2714
0.868,195.2598
0.870,195.2482
0.872,195.2365
0.874,195.2249
0.876,195.2133
0.878,195.2017
0.880,195.1901
0.882,195.1785
0.884,195.1669
0.886,195.1553
0.888,195.1437
0.890,195.1321
0.892,195.1205
0.894,195.1089
0.896,195.0973
0.898,195.0857
0.900,195.0741
0.902,195.0625
0.904,195.0509
0.906,195.0394
0.908,195.0278
0.910,195.0162
0.912,195.0046
0.914,194.9930
0.916,194.9814
0.918,194.9698
0.920,194.9583
0.922,194.9467
0.924,194.9351
0.926,194.9235
0.928,194.9119
0.930,194.9004
0.932,194.8888
0.934,194.8772
0.936,194.8656
0.938,194.8541
0.940,194.8425
0.942,194.8309
0.944,194.8194
0.946,194.8078
0.948,194.7962
0.950,194.7847
0.952,194.7731
0.954,194.7615
0.956,194.7500
0.958,194.7384
0.960,194.7269
0.962,194.7153
0.964,194.7037
0.966,194.6922
0.968,194.6806
0.970,194.6691
0.972,194.6575
0.974,194.6460
0.976,194.6344
0.978,194.6229
0.980,194.6113
0.982,194.5998
0.984,194.5882
0.986,194.5767
0.988,194.5651
0.990,194.5536
0.992,194.5421
0.994,194.5305
0.996,194.5190
0.998,194.5075
1.000,194.4959
1.002,194.4844
1.004,194.4729
1.006,194.4613
1.008,194.4498
1.010,194.4383
1.012,194.4267
1.014,194.4152
1.016,194.4037
1.018,194.3922
1.020,194.3807
1.022,194.3691
1.024,194.3576
1.026,194.3461
1.028,194.3346
1.030,194.3231
1.032,194.3116
1.034,194.3001
1.036,194.2886
1.038,194.2770
1.040,194.2655
1.042,194.2540
1.044,194.2425
1.046,194.2310
1.048,194.2195
1.050,194.2080
1.052,194.1965
1.054,194.1850
1.056,194.1735
1.058,194.1620
1.060,194.1505
1.062,194.1390
1.064,194.1275
1.066,194.1160
1.068,194.1045
1.070,194.0930
1.072,194.0815
1.074,194.0700
1.076,194.0585
1.078,194.0470
1.080,194.0355
1.082,194.0241
1.084,194.0126
1.086,194.0011
1.088,193.9896
1.090,193.9781
1.092,193.9667
1.094,193.9552
1.096,193.9437
1.098,193.9322
1.100,193.9208
1.102,193.9093
1.104,193.8978
1.106,193.8864
1.108,193.8749
1.110,193.8634
1.112,193.8520
1.114,193.8405
1.116,193.8290
1.118,193.8176
1.120,193.8061
1.122,193.7946
1.124,193.7832
1.126,193.7717
1.128,193.7603
1.130,193.7488
1.132,193.7374
1.134,193.7259
1.136,193.7145
1.138,193.7030
1.140,193.6916
1.142,193.6801
1.144,193.6687
1.146,193.6572
1.148,193.6458
1.150,193.6343
1.152,193.6229
1.154,193.6115
1.156,193.6000
1.158,193.5886
1.160,193.5771
1.162,193.5657
1.164,193.5543
1.166,193.5428
1.168,193.5314
1.170,193.5200
1.172,193.5085
1.174,193.4971
1.176,193.4857
1.178,193.4742
1.180,193.4628
1.182,193.4514
1.184,193.4400
1.186,193.4285
1.188,193.4171
1.190,193.4057
1.192,193.3943
1.194,193.3828
1.196,193.3714
1.198,193.3600
1.200,193.3486
1.202,193.3372
1.204,193.3258
1.206,193.3144
1.208,193.3029
1.210,193.2915
