424 [3] / Zeitpunkt in s	424 [3] / Winkelbeschleunigung Z, MCS in rad/s²	
0.0	0.0	
0.005035257801639547	0.0	
0.01003525780163954	0.0	
0.01503525780163951	0.0	
0.02003525780163948	0.0	
0.02503525780163945	0.0	
0.03003525780163942	0.0	
0.03503525780163952	0.0	
0.04003525780163966	0.0	
0.045035257801639805	0.0	
0.05003525780163995	0.0	
0.05503525780164009	0.0	
0.060035257801640235	0.0	
0.06503525780164038	0.0	
0.07003525780164052	0.0	
0.07503525780164066	0.0	
0.08003525780164081	0.0	
0.08503525780164095	0.0	
0.0900352578016411	0.0	
0.09503525780164124	0.0	
0.10003525780164138	0.0	
0.10499824671443155	0.35811250258639526	
0.10999824671443169	0.3581223465610357	
0.11499824671443183	0.35813869904702916	
0.11999824671443197	0.35816145128109356	
0.12499824671443212	0.3581904509126981	
0.12999824671443158	0.35822550199470704	
0.13499824671443103	0.3582663649716622	
0.13999824671443048	0.35831275666593027	
0.14499824671442993	0.3583643502620065	
0.14999824671442938	0.35842077528931054	
0.15499824671442883	0.35848161760386293	
0.15999824671442828	0.35854641936928616	
0.16499824671442773	0.3586146790376251	
0.16999824671442718	0.3586858513305278	
0.17499824671442663	0.35875934722139374	
0.17999824671442607	0.3588345339191338	
0.18499824671442552	0.35891073485424624	
0.18999824671442497	0.3589872296679685	
0.19499824671442442	0.3590632542053059	
0.19999824671442387	0.35913800051280376	
0.20496123562721347	0.0010200632595028481	
0.20996123562721292	9.978413648524067E-4	
0.21496123562721237	9.75616573984735E-4	
0.21996123562721182	9.533889513368268E-4	
0.22496123562721126	9.311585613569545E-4	
0.2299612356272107	9.08925468504415E-4	
0.23496123562721016	8.866897372492745E-4	
0.2399612356272096	8.64451432072114E-4	
0.24496123562720906	8.422106174637762E-4	
0.2499612356272085	8.19967357925097E-4	
0.25496123562720796	7.977217179666681E-4	
0.2599612356272074	7.754737621085681E-4	
0.26496123562720686	7.532235548801175E-4	
0.2699612356272063	7.309711608196106E-4	
0.27496123562720576	7.08716644474074E-4	
0.2799612356272052	6.864600703989932E-4	
0.28496123562720466	6.64201503158074E-4	
0.2899612356272041	6.419410073229732E-4	
0.29496123562720356	6.196786474730443E-4	
0.299961235627203	5.974144881950937E-4	
0.30496123562720245	5.751485940831098E-4	
0.3099612356272019	5.528810297380085E-4	
0.31496123562720135	5.306118597673777E-4	
0.3199612356272008	5.0834114878523E-4	
0.32496123562720025	4.8606896141173043E-4	
0.3299612356271997	4.6379536227295705E-4	
0.33496123562719915	4.415204160006212E-4	
0.3399612356271986	4.1924418723183294E-4	
0.34496123562719805	3.9696674060883533E-4	
0.3499612356271975	3.7468814077873787E-4	
0.35496123562719695	3.5240845239328534E-4	
0.3599612356271964	3.301277401085614E-4	
0.36496123562719585	3.078460685847677E-4	
0.3699612356271953	2.8556350248595884E-4	
0.37496123562719474	2.6328010647976404E-4	
0.3799612356271942	2.4099594523715282E-4	
0.38496123562719364	2.187110834321646E-4	
0.3899612356271931	1.9642558574165713E-4	
0.39496123562719254	1.7413951684505503E-4	
0.399961235627192	1.5185294142407485E-4	
0.40496123562719144	1.2956592416248346E-4	
0.4099612356271909	1.072785297458351E-4	
0.41496123562719034	8.499082286121828E-5	
0.4199612356271898	6.270286819697981E-5	
0.42496123562718924	4.041473044249612E-5	
0.4299612356271887	1.8126474287896374E-5	
0.43496123562718814	-4.16183557619418E-6	
0.4399612356271876	-2.6450134458902592E-5	
0.44496123562718704	-4.87383576693788E-5	
0.4499612356271865	-7.10264405170484E-5	
0.45496123562718593	-9.3314318311858E-5	
0.4599612356271854	-1.1560192636453867E-4	
0.46496123562718483	-1.3788919998688988E-4	
0.4699612356271843	-1.6017607449199227E-4	
0.47496123562718373	-1.824624851944979E-4	
0.4799612356271832	-2.0474836741087032E-4	
0.48496123562718263	-2.270336564596528E-4	
0.4899612356271821	-2.493182876617367E-4	
0.49496123562718153	-2.716021963405722E-4	
0.499961235627181	-2.93885317822502E-4	
