Frame,Time,Distance,TotalTime,TotalDistance,SegmentNum,Sector,Markers,MarkerTime,MarkerFlag,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,SteeringAngle,Throttle,Brake,Gear,Speed,RawSteer,RawThrottle,RawBrake,AutomaticGear,LapDistance,AccelerationLat,AccelerationLong,AccelerationVert,PreEfficiencyPowerFront,PreEfficiencyPowerRear,BatteryPower,BatteryPowerRMS,BatteryNetEnergy,MotorRpmFront,MotorRpmRear,TorqueDiffFront,TorqueDiffRear,MguRotorTorqueFront,MguRotorTorqueRear,WheelSpinFL,WheelSpinFR,WheelSpinRL,WheelSpinRR,VelocityYaw,SuspensionTravelFL,SuspensionTravelFR,SuspensionTravelRL,SuspensionTravelRR,nWheelFL,nWheelFR,nWheelRL,nWheelRR,AeroDrsPosition,AeroSczFront,AeroSczRear,AeroScx,AeroBalance,RideHeightFront,RideHeightRear
n/a,s,m,s,m,n/a,n/a,n/a,n/a,n/a,m,m,m,°,°,°,°,%,%,,km/h,,,,,km,G,G,G,kW,kW,,,,rpm,rpm,Nm,Nm,Nm,Nm,km/h,km/h,km/h,km/h,°/s,mm,mm,mm,mm,rpm,rpm,rpm,rpm,%,,,,%,mm,mm
5389.00000,0.18000,7.37497,10.77800,280.37300,1.00000,0.00000,0.00000,0.00000,0.00000,518.39350,139.50040,2353.09400,-1.14929,153.03480,-0.28250,20.32200,100.00000,0.00000,1.00000,127.31750,0.00000,0.00000,0.00000,4.00000,0.00613,3.87454,0.93651,-0.38642,300.00000,481.92400,781.92400,761.49140,0.03765,1388.89900,1456.22900,570.70940,829.81340,1899.46200,2746.21200,185.25040,185.86950,195.31170,196.68600,9.75581,50.30602,59.52266,61.14483,76.35328,1389.59000,1389.94100,1459.09300,1460.09400,100.00000,1.75517,3.07247,1.00513,36.35667,60.00000,81.00000
5399.00000,0.20000,8.08515,10.79800,281.19140,1.00000,0.00000,0.00000,0.00000,0.00000,519.07450,139.52600,2352.64500,-1.14090,153.19560,-0.25345,19.83600,100.00000,0.00000,1.00000,127.83200,0.00000,0.00000,0.00000,4.00000,0.00694,4.23848,1.17578,-0.18089,300.00000,464.59100,764.59100,762.69920,0.04195,1398.04300,1490.26700,749.35250,1057.07500,1909.38000,2661.04800,186.10590,186.92710,198.24780,199.77690,6.32133,50.17907,58.77489,61.88297,77.17094,1398.56400,1400.03000,1491.79600,1492.07600,100.00000,1.87419,3.01065,1.01075,38.36745,59.00000,81.00000
5409.00000,0.22000,8.79900,10.81800,282.01300,1.00000,0.00000,0.00000,0.00000,0.00000,519.75680,139.55290,2352.19200,-1.19592,153.28010,-0.23019,19.62000,100.00000,0.00000,1.00000,128.49380,0.00000,0.00000,0.00000,4.00000,0.00776,6.08582,1.21998,0.12178,300.00000,456.41700,756.41700,762.28980,0.04615,1406.94000,1505.30700,851.84210,1031.24600,1905.16200,2708.11900,186.37110,187.44460,198.48390,200.31480,4.26958,49.77617,58.49573,61.90121,77.50034,1407.34300,1407.36300,1505.51600,1505.40800,100.00000,1.86544,3.02648,1.00975,38.13305,59.00000,81.00000
5419.00000,0.24000,9.51737,10.83800,282.83790,1.00000,0.00000,0.00000,0.00000,0.00000,520.43890,139.58130,2351.73300,-1.30139,153.30810,-0.22513,19.27790,100.00000,0.00000,1.00000,129.30620,0.00000,0.00000,0.00000,4.00000,0.00858,4.68855,1.36197,0.24413,300.00000,459.11600,759.11600,761.73740,0.05035,1412.42400,1502.57200,792.82150,984.59540,1877.35800,2814.78000,187.49290,188.57850,196.99350,198.76650,-0.74474,49.67836,58.49764,61.38888,77.45644,1413.52300,1413.28200,1501.69100,1501.62600,100.00000,1.84902,3.03688,1.00868,37.84402,59.00000,79.00000
5429.00000,0.26000,10.24118,10.85800,283.66620,1.00000,0.00000,0.00000,0.00000,0.00000,521.12150,139.61080,2351.26900,-1.42777,153.25070,-0.21918,19.06200,100.00000,0.00000,1.00000,130.28560,0.00000,0.00000,0.00000,4.00000,0.00941,0.92831,1.34893,0.37367,300.00000,472.62100,772.62100,762.14090,0.05462,1419.44900,1490.36100,845.94430,1018.86200,1870.95800,3010.76000,188.69690,189.68910,193.94060,195.91120,-10.32717,49.42390,58.76270,59.24338,76.75266,1420.17900,1420.46400,1488.23900,1487.19300,100.00000,1.82795,3.06643,1.00636,37.34788,59.00000,76.00000
5439.00000,0.28000,10.97141,10.87800,284.49780,1.00000,0.00000,0.00000,0.00000,0.00000,521.80470,139.64120,2350.80000,-1.54620,153.08010,-0.21832,18.95400,100.00000,0.00000,1.00000,131.44060,0.00000,0.00000,0.00000,4.00000,0.01024,1.22373,1.39172,0.38884,300.00000,497.03500,797.03500,763.92600,0.05899,1428.56200,1468.27900,922.67050,897.49220,1836.73500,3165.20300,190.15590,191.01350,191.50000,193.41280,-15.69306,49.51826,58.73692,56.83836,75.59532,1430.03400,1429.93800,1466.80200,1466.57900,100.00000,1.79641,3.11136,1.00238,36.60337,59.00000,73.00000
5449.00000,0.30000,11.70865,10.89800,285.33190,1.00000,0.00000,0.00000,0.00000,0.00000,522.48780,139.67190,2350.32400,-1.62054,152.80610,-0.20801,18.57600,100.00000,0.00000,1.00000,132.70490,0.00000,0.00000,0.00000,4.00000,0.01107,0.76706,1.11687,0.36147,281.54600,518.45300,799.99900,766.39390,0.06345,1438.89200,1453.35900,718.99440,882.56230,1744.88000,3271.25300,191.39580,192.35190,190.37110,192.29470,-20.42641,49.76538,58.91457,55.85316,74.87276,1439.19600,1439.13300,1452.64100,1452.78100,100.00000,1.71112,3.16109,0.99657,35.11997,60.00000,73.00000
5459.00000,0.32000,12.45309,10.91800,286.16950,1.00000,0.00000,0.00000,0.00000,0.00000,523.17070,139.70250,2349.84400,-1.64362,152.42880,-0.18430,18.41390,100.00000,0.00000,1.00000,133.99780,0.00000,0.00000,0.00000,4.00000,0.01191,0.77351,1.32182,-0.18668,269.34900,530.65000,799.99900,768.55070,0.06791,1448.31000,1450.97200,988.50810,1031.99500,1641.94800,3244.98000,193.17430,193.84700,191.37880,193.07530,-25.73839,50.04400,59.28904,56.04366,74.86626,1449.25300,1449.51800,1451.75400,1451.88100,100.00000,1.65022,3.13719,0.99685,34.46997,61.00000,74.00000
5469.00000,0.34000,13.20501,10.93800,287.00960,1.00000,0.00000,0.00000,0.00000,0.00000,523.85390,139.73260,2349.35800,-1.62796,151.95360,-0.20361,18.02480,100.00000,0.00000,1.00000,135.34570,0.00000,0.00000,0.00000,4.00000,0.01274,0.67475,1.05083,-0.27143,264.18700,535.81200,799.99900,770.44720,0.07237,1460.83500,1459.48200,701.34170,911.00820,1600.35400,3221.91800,193.98970,194.61210,193.15150,194.64760,-29.15926,50.36670,59.36340,56.66756,75.06025,1461.22600,1461.77800,1460.66800,1460.66000,100.00000,1.68378,3.11379,0.99987,35.09658,61.00000,75.00000
5479.00000,0.36000,13.96512,10.95800,287.85270,1.00000,0.00000,0.00000,0.00000,0.00000,524.53680,139.76250,2348.86800,-1.59897,151.40140,-0.16385,17.86470,100.00000,0.00000,1.00000,136.82090,0.00000,0.00000,0.00000,4.00000,0.01358,0.43927,1.08100,-0.04081,270.65100,529.34800,799.99900,772.12800,0.07684,1461.08000,1469.94000,997.01560,1188.44500,1696.42700,3164.88400,193.72150,194.57150,194.48700,196.37870,-32.46104,50.48051,59.49229,57.07681,75.52317,1460.05700,1460.96300,1470.79400,1471.56800,100.00000,1.70257,3.08031,1.00263,35.59717,61.00000,76.00000
5489.00000,0.38000,14.73340,10.97800,288.69930,1.00000,0.00000,0.00000,0.00000,0.00000,525.22000,139.79280,2348.37300,-1.57666,150.78110,-0.17157,17.25250,100.00000,0.00000,1.00000,138.29040,0.00000,0.00000,0.00000,4.00000,0.01443,0.98848,1.20390,-0.37474,280.88800,519.11100,799.99900,773.62770,0.08130,1463.41300,1481.66100,719.54740,1192.52700,1696.71000,3111.26000,195.18100,195.86190,195.69190,197.46910,-35.49481,50.77186,59.20777,57.45610,75.93807,1464.67600,1464.49400,1482.18700,1482.12900,100.00000,1.69617,3.05220,1.00391,35.72108,61.00000,78.00000
5499.00000,0.40000,15.51020,10.99800,289.54890,1.00000,0.00000,0.00000,0.00000,0.00000,525.90420,139.82300,2347.87300,-1.55216,150.08060,-0.24341,17.00270,100.00000,0.00000,1.00000,139.82260,0.00000,0.00000,0.00000,4.00000,0.01527,0.74508,1.34764,-0.13304,276.80600,523.19300,799.99900,774.97430,0.08576,1475.20600,1488.07100,346.25370,981.06640,1639.03500,3153.76400,195.10160,195.62870,196.33240,198.20950,-39.62562,51.19887,58.46947,57.91825,76.17295,1477.45600,1476.01300,1488.26500,1487.89700,100.00000,1.71559,3.06576,1.00391,35.88083,61.00000,79.00000
5509.00000,0.42000,16.29637,11.01800,290.40170,1.00000,0.00000,0.00000,0.00000,0.00000,526.58810,139.85330,2347.36800,-1.54038,149.31700,-0.23074,16.52990,100.00000,0.00000,1.00000,141.51040,0.00000,0.00000,0.00000,4.00000,0.01612,0.27079,0.79647,-0.07896,286.26700,513.73200,799.99900,776.19000,0.09023,1463.82800,1492.39000,822.92780,1307.40800,1795.06800,3081.62700,194.23810,195.04190,196.81450,198.73750,-41.43512,51.17005,58.23576,58.35053,76.63432,1462.87200,1463.48300,1492.55400,1492.60800,100.00000,1.70535,3.05826,1.00391,35.79961,60.00000,78.00000
5519.00000,0.44000,17.09153,11.03800,291.25810,1.00000,0.00000,0.00000,0.00000,0.00000,527.27230,139.88470,2346.85800,-1.56015,148.50720,-0.24088,16.35000,100.00000,0.00000,1.00000,143.12890,0.00000,0.00000,0.00000,4.00000,0.01698,0.82762,1.43857,0.13768,287.02400,512.97500,799.99900,777.29300,0.09469,1468.97000,1490.68100,322.16720,1045.55700,1759.39300,3178.29400,193.54590,194.06220,195.82940,197.71020,-44.24044,51.25576,57.40968,58.37208,76.91562,1467.57900,1468.45200,1489.56100,1490.43900,100.00000,1.82732,3.06439,1.00636,37.35539,59.00000,78.00000
5529.00000,0.46000,17.89628,11.05800,292.11840,1.00000,0.00000,0.00000,0.00000,0.00000,527.95650,139.91680,2346.34200,-1.60025,147.63180,-0.18481,16.32600,100.00000,0.00000,1.00000,144.85580,0.00000,0.00000,0.00000,4.00000,0.01783,0.40284,1.04361,-0.22513,287.31500,512.68400,799.99900,778.29840,0.09915,1458.51100,1482.16100,343.47400,1343.22900,1746.72300,3191.95000,195.41830,195.66980,194.15240,196.23040,-49.96861,52.12256,56.90831,58.23642,77.14445,1461.15200,1459.52500,1481.02500,1481.37300,100.00000,1.83235,3.06793,1.00636,37.39277,59.00000,78.00000
