x;y;u;v;column;row
0.0000;0.0000;-0.0388;0.0079;0;0
0.0345;0.0000;0.0036;0.0180;1;0
0.0690;0.0000;0.0445;0.0273;2;0
0.1034;0.0000;0.0840;0.0357;3;0
0.1379;0.0000;0.1223;0.0433;4;0
0.1724;0.0000;0.1595;0.0502;5;0
0.2069;0.0000;0.1957;0.0563;6;0
0.2414;0.0000;0.2311;0.0617;7;0
0.2759;0.0000;0.2657;0.0663;8;0
0.3103;0.0000;0.2996;0.0703;9;0
0.3448;0.0000;0.3330;0.0737;10;0
0.3793;0.0000;0.3660;0.0764;11;0
0.4138;0.0000;0.3986;0.0784;12;0
0.4483;0.0000;0.4309;0.0799;13;0
0.4828;0.0000;0.4630;0.0807;14;0
0.5172;0.0000;0.4951;0.0809;15;0
0.5517;0.0000;0.5271;0.0805;16;0
0.5862;0.0000;0.5592;0.0795;17;0
0.6207;0.0000;0.5915;0.0779;18;0
0.6552;0.0000;0.6240;0.0757;19;0
0.6897;0.0000;0.6569;0.0729;20;0
0.7241;0.0000;0.6902;0.0694;21;0
0.7586;0.0000;0.7240;0.0653;22;0
0.7931;0.0000;0.7583;0.0605;23;0
0.8276;0.0000;0.7935;0.0551;24;0
0.8621;0.0000;0.8294;0.0489;25;0
0.8966;0.0000;0.8662;0.0420;26;0
0.9310;0.0000;0.9041;0.0344;27;0
0.9655;0.0000;0.9432;0.0260;28;0
1.0000;0.0000;0.9835;0.0168;29;0
0.0000;0.0526;-0.0388;0.0624;0;1
0.0345;0.0526;0.0036;0.0717;1;1
0.0690;0.0526;0.0445;0.0803;2;1
0.1034;0.0526;0.0840;0.0881;3;1
0.1379;0.0526;0.1223;0.0952;4;1
0.1724;0.0526;0.1595;0.1015;5;1
0.2069;0.0526;0.1957;0.1071;6;1
0.2414;0.0526;0.2311;0.1121;7;1
0.2759;0.0526;0.2657;0.1164;8;1
0.3103;0.0526;0.2996;0.1201;9;1
0.3448;0.0526;0.3330;0.1232;10;1
0.3793;0.0526;0.3660;0.1256;11;1
0.4138;0.0526;0.3986;0.1275;12;1
0.4483;0.0526;0.4309;0.1288;13;1
0.4828;0.0526;0.4630;0.1296;14;1
0.5172;0.0526;0.4951;0.1298;15;1
0.5517;0.0526;0.5271;0.1294;16;1
0.5862;0.0526;0.5592;0.1284;17;1
0.6207;0.0526;0.5915;0.1269;18;1
0.6552;0.0526;0.6240;0.1249;19;1
0.6897;0.0526;0.6569;0.1222;20;1
0.7241;0.0526;0.6902;0.1189;21;1
0.7586;0.0526;0.7240;0.1151;22;1
0.7931;0.0526;0.7583;0.1106;23;1
0.8276;0.0526;0.7935;0.1055;24;1
0.8621;0.0526;0.8294;0.0998;25;1
0.8966;0.0526;0.8662;0.0934;26;1
0.9310;0.0526;0.9041;0.0863;27;1
0.9655;0.0526;0.9432;0.0784;28;1
1.0000;0.0526;0.9835;0.0698;29;1
0.0000;0.1053;-0.0388;0.1168;0;2
0.0345;0.1053;0.0036;0.1255;1;2
0.0690;0.1053;0.0445;0.1333;2;2
0.1034;0.1053;0.0840;0.1405;3;2
0.1379;0.1053;0.1223;0.1470;4;2
0.1724;0.1053;0.1595;0.1528;5;2
0.2069;0.1053;0.1957;0.1580;6;2
0.2414;0.1053;0.2311;0.1625;7;2
0.2759;0.1053;0.2657;0.1665;8;2
0.3103;0.1053;0.2996;0.1698;9;2
0.3448;0.1053;0.3330;0.1726;10;2
0.3793;0.1053;0.3660;0.1749;11;2
0.4138;0.1053;0.3986;0.1766;12;2
0.4483;0.1053;0.4309;0.1778;13;2
0.4828;0.1053;0.4630;0.1785;14;2
0.5172;0.1053;0.4951;0.1786;15;2
0.5517;0.1053;0.5271;0.1782;16;2
0.5862;0.1053;0.5592;0.1773;17;2
0.6207;0.1053;0.5915;0.1759;18;2
0.6552;0.1053;0.6240;0.1740;19;2
0.6897;0.1053;0.6569;0.1715;20;2
0.7241;0.1053;0.6902;0.1685;21;2
0.7586;0.1053;0.7240;0.1649;22;2
0.7931;0.1053;0.7583;0.1607;23;2
0.8276;0.1053;0.7935;0.1560;24;2
0.8621;0.1053;0.8294;0.1507;25;2
0.8966;0.1053;0.8662;0.1447;26;2
0.9310;0.1053;0.9041;0.1381;27;2
0.9655;0.1053;0.9432;0.1308;28;2
1.0000;0.1053;0.9835;0.1229;29;2
0.0000;0.1579;-0.0388;0.1713;0;3
0.0345;0.1579;0.0036;0.1792;1;3
0.0690;0.1579;0.0445;0.1864;2;3
0.1034;0.1579;0.0840;0.1929;3;3
0.1379;0.1579;0.1223;0.1988;4;3
0.1724;0.1579;0.1595;0.2041;5;3
0.2069;0.1579;0.1957;0.2088;6;3
0.2414;0.1579;0.2311;0.2129;7;3
0.2759;0.1579;0.2657;0.2165;8;3
0.3103;0.1579;0.2996;0.2196;9;3
0.3448;0.1579;0.3330;0.2221;10;3
0.3793;0.1579;0.3660;0.2242;11;3
