x;y;u;v;column;row
0.0000;0.0000;0.0160;0.0124;0;0
0.0345;0.0000;0.0552;0.0221;1;0
0.0690;0.0000;0.0931;0.0309;2;0
0.1034;0.0000;0.1297;0.0390;3;0
0.1379;0.0000;0.1653;0.0462;4;0
0.1724;0.0000;0.1999;0.0527;5;0
0.2069;0.0000;0.2336;0.0585;6;0
0.2414;0.0000;0.2667;0.0635;7;0
0.2759;0.0000;0.2990;0.0679;8;0
0.3103;0.0000;0.3309;0.0717;9;0
0.3448;0.0000;0.3622;0.0747;10;0
0.3793;0.0000;0.3932;0.0772;11;0
0.4138;0.0000;0.4239;0.0790;12;0
0.4483;0.0000;0.4544;0.0802;13;0
0.4828;0.0000;0.4848;0.0808;14;0
0.5172;0.0000;0.5152;0.0808;15;0
0.5517;0.0000;0.5456;0.0802;16;0
0.5862;0.0000;0.5761;0.0790;17;0
0.6207;0.0000;0.6068;0.0772;18;0
0.6552;0.0000;0.6378;0.0747;19;0
0.6897;0.0000;0.6691;0.0717;20;0
0.7241;0.0000;0.7010;0.0679;21;0
0.7586;0.0000;0.7333;0.0635;22;0
0.7931;0.0000;0.7664;0.0585;23;0
0.8276;0.0000;0.8001;0.0527;24;0
0.8621;0.0000;0.8347;0.0462;25;0
0.8966;0.0000;0.8703;0.0390;26;0
0.9310;0.0000;0.9069;0.0309;27;0
0.9655;0.0000;0.9448;0.0221;28;0
1.0000;0.0000;0.9840;0.0124;29;0
0.0000;0.0526;0.0160;0.0662;0;1
0.0345;0.0526;0.0552;0.0752;1;1
0.0690;0.0526;0.0931;0.0834;2;1
0.1034;0.0526;0.1297;0.0908;3;1
0.1379;0.0526;0.1653;0.0975;4;1
0.1724;0.0526;0.1999;0.1036;5;1
0.2069;0.0526;0.2336;0.1089;6;1
0.2414;0.0526;0.2667;0.1136;7;1
0.2759;0.0526;0.2990;0.1177;8;1
0.3103;0.0526;0.3309;0.1212;9;1
0.3448;0.0526;0.3622;0.1240;10;1
0.3793;0.0526;0.3932;0.1263;11;1
0.4138;0.0526;0.4239;0.1280;12;1
0.4483;0.0526;0.4544;0.1291;13;1
0.4828;0.0526;0.4848;0.1297;14;1
0.5172;0.0526;0.5152;0.1297;15;1
0.5517;0.0526;0.5456;0.1291;16;1
0.5862;0.0526;0.5761;0.1280;17;1
0.6207;0.0526;0.6068;0.1263;18;1
0.6552;0.0526;0.6378;0.1240;19;1
0.6897;0.0526;0.6691;0.1212;20;1
0.7241;0.0526;0.7010;0.1177;21;1
0.7586;0.0526;0.7333;0.1136;22;1
0.7931;0.0526;0.7664;0.1089;23;1
0.8276;0.0526;0.8001;0.1036;24;1
0.8621;0.0526;0.8347;0.0975;25;1
0.8966;0.0526;0.8703;0.0908;26;1
0.9310;0.0526;0.9069;0.0834;27;1
0.9655;0.0526;0.9448;0.0752;28;1
1.0000;0.0526;0.9840;0.0662;29;1
0.0000;0.1053;0.0160;0.1199;0;2
0.0345;0.1053;0.0552;0.1282;1;2
0.0690;0.1053;0.0931;0.1358;2;2
0.1034;0.1053;0.1297;0.1427;3;2
0.1379;0.1053;0.1653;0.1489;4;2
0.1724;0.1053;0.1999;0.1544;5;2
0.2069;0.1053;0.2336;0.1594;6;2
0.2414;0.1053;0.2667;0.1637;7;2
0.2759;0.1053;0.2990;0.1675;8;2
0.3103;0.1053;0.3309;0.1707;9;2
0.3448;0.1053;0.3622;0.1733;10;2
0.3793;0.1053;0.3932;0.1754;11;2
0.4138;0.1053;0.4239;0.1770;12;2
0.4483;0.1053;0.4544;0.1780;13;2
0.4828;0.1053;0.4848;0.1786;14;2
0.5172;0.1053;0.5152;0.1786;15;2
0.5517;0.1053;0.5456;0.1780;16;2
0.5862;0.1053;0.5761;0.1770;17;2
0.6207;0.1053;0.6068;0.1754;18;2
0.6552;0.1053;0.6378;0.1733;19;2
0.6897;0.1053;0.6691;0.1707;20;2
0.7241;0.1053;0.7010;0.1675;21;2
0.7586;0.1053;0.7333;0.1637;22;2
0.7931;0.1053;0.7664;0.1594;23;2
0.8276;0.1053;0.8001;0.1544;24;2
0.8621;0.1053;0.8347;0.1489;25;2
0.8966;0.1053;0.8703;0.1427;26;2
0.9310;0.1053;0.9069;0.1358;27;2
0.9655;0.1053;0.9448;0.1282;28;2
1.0000;0.1053;0.9840;0.1199;29;2
0.0000;0.1579;0.0160;0.1736;0;3
0.0345;0.1579;0.0552;0.1813;1;3
0.0690;0.1579;0.0931;0.1882;2;3
0.1034;0.1579;0.1297;0.1945;3;3
0.1379;0.1579;0.1653;0.2002;4;3
0.1724;0.1579;0.1999;0.2053;5;3
0.2069;0.1579;0.2336;0.2098;6;3
0.2414;0.1579;0.2667;0.2138;7;3
0.2759;0.1579;0.2990;0.2173;8;3
0.3103;0.1579;0.3309;0.2202;9;3
0.3448;0.1579;0.3622;0.2226;10;3
0.3793;0.1579;0.3932;0.2246;11;3
0.4138;0.1579;0.4239;0.2260;12;3
0.4483;0.1579;0.4544;0.2270;13;3
0.4828;0.1579;0.4848;0.2274;14;3
0.5172;0.1579;0.5152;0.2274;15;3
0.5517;0.1579;0.5456;0.2270;16;3
0.5862;0.1579;0.5761;0.2260;17;3
0.6207;0.1579;0.6068;0.2246;18;3
0.6552;0.1579;0.6378;0.2226;19;3
0.6897;0.1579;0.6691;0.2202;20;3
0.7241;0.1579;0.7010;0.2173;21;3
0.7586;0.1579;0.7333;0.2138;22;3
0.7931;0.1579;0.7664;0.2098;23;3
0.8276;0.1579;0.8001;0.2053;24;3
0.8621;0.1579;0.8347;0.2002;25;3
0.8966;0.1579;0.8703;0.1945;26;3
0.9310;0.1579;0.9069;0.1882;27;3
0.9655;0.1579;0.9448;0.1813;28;3
1.0000;0.1579;0.9840;0.1736;29;3
0.0000;0.2105;0.0160;0.2274;0;4
0.0345;0.2105;0.0552;0.2343;1;4
0.0690;0.2105;0.0931;0.2406;2;4
0.1034;0.2105;0.1297;0.2464;3;4
0.1379;0.2105;0.1653;0.2515;4;4
0.1724;0.2105;0.1999;0.2562;5;4
0.2069;0.2105;0.2336;0.2603;6;4
0.2414;0.2105;0.2667;0.2639;7;4
0.2759;0.2105;0.2990;0.2671;8;4
0.3103;0.2105;0.3309;0.2697;9;4
0.3448;0.2105;0.3622;0.2719;10;4
0.3793;0.2105;0.3932;0.2737;11;4
0.4138;0.2105;0.4239;0.2750;12;4
0.4483;0.2105;0.4544;0.2759;13;4
0.4828;0.2105;0.4848;0.2763;14;4
0.5172;0.2105;0.5152;0.2763;15;4
0.5517;0.2105;0.5456;0.2759;16;4
0.5862;0.2105;0.5761;0.2750;17;4
0.6207;0.2105;0.6068;0.2737;18;4
0.6552;0.2105;0.6378;0.2719;19;4
0.6897;0.2105;0.6691;0.2697;20;4
0.7241;0.2105;0.7010;0.2671;21;4
0.7586;0.2105;0.7333;0.2639;22;4
0.7931;0.2105;0.7664;0.2603;23;4
0.8276;0.2105;0.8001;0.2562;24;4
0.8621;0.2105;0.8347;0.2515;25;4
0.8966;0.2105;0.8703;0.2464;26;4
0.9310;0.2105;0.9069;0.2406;27;4
0.9655;0.2105;0.9448;0.2343;28;4
1.0000;0.2105;0.9840;0.2274;29;4
0.0000;0.2632;0.0160;0.2811;0;5
0.0345;0.2632;0.0552;0.2873;1;5
0.0690;0.2632;0.0931;0.2930;2;5
0.1034;0.2632;0.1297;0.2982;3;5
0.1379;0.2632;0.1653;0.3029;4;5
0.1724;0.2632;0.1999;0.3070;5;5
0.2069;0.2632;0.2336;0.3108;6;5
0.2414;0.2632;0.2667;0.3140;7;5
0.2759;0.2632;0.2990;0.3168;8;5
0.3103;0.2632;0.3309;0.3192;9;5
0.3448;0.2632;0.3622;0.3212;10;5
0.3793;0.2632;0.3932;0.3228;11;5
0.4138;0.2632;0.4239;0.3240;12;5
0.4483;0.2632;0.4544;0.3248;13;5
0.4828;0.2632;0.4848;0.3252;14;5
0.5172;0.2632;0.5152;0.3252;15;5
0.5517;0.2632;0.5456;0.3248;16;5
0.5862;0.2632;0.5761;0.3240;17;5
0.6207;0.2632;0.6068;0.3228;18;5
0.6552;0.2632;0.6378;0.3212;19;5
0.6897;0.2632;0.6691;0.3192;20;5
0.7241;0.2632;0.7010;0.3168;21;5
0.7586;0.2632;0.7333;0.3140;22;5
0.7931;0.2632;0.7664;0.3108;23;5
0.8276;0.2632;0.8001;0.3070;24;5
0.8621;0.2632;0.8347;0.3029;25;5
0.8966;0.2632;0.8703;0.2982;26;5
0.9310;0.2632;0.9069;0.2930;27;5
0.9655;0.2632;0.9448;0.2873;28;5
1.0000;0.2632;0.9840;0.2811;29;5
0.0000;0.3158;0.0160;0.3349;0;6
0.0345;0.3158;0.0552;0.3404;1;6
0.0690;0.3158;0.0931;0.3455;2;6
0.1034;0.3158;0.1297;0.3500;3;6
0.1379;0.3158;0.1653;0.3542;4;6
0.1724;0.3158;0.1999;0.3579;5;6
0.2069;0.3158;0.2336;0.3612;6;6
0.2414;0.3158;0.2667;0.3641;7;6
0.2759;0.3158;0.2990;0.3666;8;6
0.3103;0.3158;0.3309;0.3688;9;6
0.3448;0.3158;0.3622;0.3705;10;6
0.3793;0.3158;0.3932;0.3719;11;6
0.4138;0.3158;0.4239;0.3730;12;6
0.4483;0.3158;0.4544;0.3737;13;6
