TIME,DISTANCE,SPEED,POWERELECTRICALTOTAL
3.448,177.74,45.42795,-97.227
3.468,178.622,43.8045,-115.363
3.488,179.493,43.8045,-126.119
3.508,180.354,43.8045,-138.791
3.528,181.204,43.8045,-145.006
3.548,182.045,43.8045,-148.53
3.568,182.877,41.35618,-149.359
3.588,183.702,41.35618,-146.232
3.608,184.52,41.35618,-148.379
3.628,185.333,41.35618,-146.704
3.648,186.142,41.35618,-144.007
3.668,186.944,40.04205,-139.024
3.688,187.741,40.04205,-136.186
3.708,188.533,40.04205,-130.173
3.728,189.32,40.04205,-121.676
3.748,190.103,40.04205,-116.796
3.768,190.882,38.82761,-108.217
3.788,191.657,38.82761,-98.26801
3.808,192.428,38.82761,-91.421
3.828,193.195,38.82761,-88.211
3.848,193.959,38.82761,-89.871
3.868,194.72,37.9586,-93.214
3.888,195.476,37.9586,-93.937
3.908,196.229,37.9586,-93.988
3.928,196.979,37.9586,-93.334
3.948,197.726,37.9586,-93.694
3.968,198.469,37.09599,-94.07
3.988,199.209,37.09599,-95.366
4.008,199.945,37.09599,-96.095
4.028,200.678,37.09599,-99.358
4.048,201.406,37.09599,-99.422
4.068,202.13,36.15437,-100.719
4.088,202.851,36.15437,-101.602
4.108,203.567,36.15437,-102.173
4.128,204.28,36.15437,-102.17
4.148,204.989,36.15437,-101.145
4.168,205.693,35.10239,-100.105
4.188,206.393,35.10239,-99.327
4.208,207.088,35.10239,-98.185
4.228,207.78,35.10239,-96.742
4.248,208.468,35.10239,-95.451
4.268,209.152,34.13183,-93.564
4.288,209.832,34.13183,-92.10201
4.308,210.509,34.13183,-89.691
4.328,211.181,34.13183,-88.273
4.348,211.85,34.13183,-84.554
4.368,212.515,33.25074,-83.56599
4.388,213.178,33.25074,-82.608
4.408,213.837,33.25074,-84.166
4.428,214.492,33.25074,-85.555
4.448,215.145,33.25074,-88.417
4.468,215.794,32.40764,-89.69
4.488,216.439,32.40764,-93.726
4.508,217.081,32.40764,-94.392
4.528,217.718,32.40764,-95.55901
4.548,218.352,32.40764,-95.537
4.568,218.981,31.43795,-93.965
4.588,219.607,31.43795,-93.024
4.608,220.228,31.43795,-92.379
4.628,220.846,31.43795,-92.033
4.648,221.459,31.43795,-91.092
4.668,222.069,30.50541,-89.623
4.688,222.676,30.50541,-87.313
4.708,223.278,30.50541,-85.721
4.728,223.877,30.50541,-84.43
4.748,224.472,30.50541,-83.764
4.768,225.064,29.51782,-83.454
4.788,225.653,29.51782,-83.908
4.808,226.237,29.51782,-85.176
4.828,226.818,29.51782,-85.471
4.848,227.395,29.51782,-85.725
4.868,227.968,28.5983,-85.63
4.888,228.538,28.5983,-86.018
4.908,229.103,28.5983,-86.267
4.928,229.666,28.5983,-85.411
4.948,230.224,28.5983,-83.457
4.968,230.779,27.69736,-81.912
4.988,231.33,27.69736,-79.501
5.008,231.878,27.69736,-76.229
5.028,232.423,27.69736,-74.409
5.048,232.964,27.69736,-70.778
5.068,233.503,26.85075,-68.86
5.088,234.039,26.85075,-62.857
5.108,234.573,26.85075,-59.115
5.128,235.104,26.85075,-57.753
5.148,235.632,26.85075,-55.834
5.168,236.158,26.29151,-54.883
5.188,236.682,26.29151,-52.375
5.208,237.205,26.29151,-50.141
5.228,237.726,26.29151,-49.26
5.248,238.246,26.29151,-48.078
5.268,238.764,25.84777,-47.286
5.288,239.281,25.84777,-46.775
5.308,239.797,25.84777,-46.562
5.328,240.311,25.84777,-46.191
5.348,240.824,25.84777,-45.912
5.368,241.335,25.44592,-45.661
5.388,241.844,25.44592,-45.287
5.408,242.353,25.44592,-45.178
5.428,242.859,25.44592,-45.139
5.448,243.364,25.44592,-45.123
5.468,243.867,25.09396,-45.098
5.488,244.369,25.09396,-45.075
5.508,244.869,25.09396,-45.056
5.528,245.369,25.09396,-45.039
5.548,245.867,25.09396,-44.38
5.568,246.365,24.69907,-35.319
5.588,246.861,24.69907,-15.874
